================================================================
   PREDATOR X — AUTHORIZATION CHAIN BACKFILL
================================================================
Dossiers needing backfill: 5592 | Dry-run: False
----------------------------------------------------------------
  Re-running PRV_NOV_003875fb through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_003875fb.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_103d0570 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_103d0570.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_1311bc07 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_1311bc07.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_1312a82f through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_1312a82f.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_13a5754d through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_13a5754d.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_13cf9ab1 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_13cf9ab1.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_141ac010 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_141ac010.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_14e25d5c through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_14e25d5c.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_15017779 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_15017779.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_152ed165 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_152ed165.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_16663b53 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_16663b53.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_174a9d78 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_174a9d78.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_176da3d0 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_176da3d0.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_1939a6b6 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_1939a6b6.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_198cf2d2 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_198cf2d2.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_19dfeea3 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_19dfeea3.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_1a23c704 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_1a23c704.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_1a4c6374 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_1a4c6374.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_1b8ece8e through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_1b8ece8e.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_1dad3aed through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_1dad3aed.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_1dddb5cc through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_1dddb5cc.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_1e2112d8 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_1e2112d8.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_1e4de52f through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_1e4de52f.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_1e6d9b2f through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_1e6d9b2f.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_1e7c43fd through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_1e7c43fd.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_1f452732 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_1f452732.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_1f6b8f68 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_1f6b8f68.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_2110274f through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_2110274f.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_220e8c7f through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_220e8c7f.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_22220324 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_22220324.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_223e3809 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_223e3809.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_22c07788 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_22c07788.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_23dceece through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_23dceece.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_24a07b3c through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_24a07b3c.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_25819f49 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_25819f49.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_25a74a1f through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_25a74a1f.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_26cbacd4 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_26cbacd4.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_2774b96c through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_2774b96c.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_27be72e7 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_27be72e7.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_28735ba2 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_28735ba2.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_29290782 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_29290782.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_29e30110 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_29e30110.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_2a7c0cc2 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_2a7c0cc2.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_2c107e60 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_2c107e60.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_2de3b5f0 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_2de3b5f0.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_2eec3ab4 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_2eec3ab4.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_2f9d03fb through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_2f9d03fb.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_30fe3809 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_30fe3809.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_33b58dc0 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_33b58dc0.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_34dec87d through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_34dec87d.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_356a788c through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_356a788c.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_36a51ac0 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_36a51ac0.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_3700c401 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_3700c401.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_385d848c through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_385d848c.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_38a3bef4 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_38a3bef4.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_3ade0e47 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_3ade0e47.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_3bf0faae through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_3bf0faae.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_3c6e77f4 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_3c6e77f4.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_3c8d1509 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_3c8d1509.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_3c9def4a through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_3c9def4a.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_3f0117a6 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_3f0117a6.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_3f2cab96 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_3f2cab96.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_3f3daf91 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_3f3daf91.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_3f4258a9 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_3f4258a9.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_407cc2c7 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_407cc2c7.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_41bcecb1 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_41bcecb1.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_41e267cd through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_41e267cd.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_420a22e8 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_420a22e8.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_428b5983 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_428b5983.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_42d02221 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_42d02221.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_42d1e804 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_42d1e804.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_42ee7c84 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_42ee7c84.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_4456a776 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_4456a776.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_4484723c through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_4484723c.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_45767204 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_45767204.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_46bff688 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_46bff688.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_46eca059 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_46eca059.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_4976275c through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_4976275c.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_4a00bc42 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_4a00bc42.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_4a02c427 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_4a02c427.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_4ac7985e through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_4ac7985e.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_4aea812d through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_4aea812d.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_4be5d1ce through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_4be5d1ce.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_4c262e0c through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_4c262e0c.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_4cd0bf5a through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_4cd0bf5a.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_4d8e2392 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_4d8e2392.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_4dbe4ba5 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_4dbe4ba5.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_4eedabec through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_4eedabec.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_503f9f12 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_503f9f12.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_506d177b through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_506d177b.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_514049b5 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_514049b5.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_517c8dd1 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_517c8dd1.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_524d12ec through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_524d12ec.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_526aa579 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_526aa579.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_5322f375 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_5322f375.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_574548e4 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_574548e4.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_594ee094 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_594ee094.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_599b5354 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_599b5354.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_5dc5e1db through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_5dc5e1db.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_60438b7a through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_60438b7a.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_6079beb7 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_6079beb7.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_618b85e0 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_618b85e0.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_61dcbe52 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_61dcbe52.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_6384e74d through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_6384e74d.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_6407c9b5 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_6407c9b5.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_64afa423 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_64afa423.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_66cc0bea through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_66cc0bea.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_67233945 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_67233945.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_68464ab9 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_68464ab9.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_69a1f9b2 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_69a1f9b2.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_6ac3ad17 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_6ac3ad17.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_6b31b0e9 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_6b31b0e9.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_6cf9c471 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_6cf9c471.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_716450ec through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_716450ec.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_7674cf95 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_7674cf95.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_78f5c681 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_78f5c681.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_7ac579eb through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_7ac579eb.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_7daeac2e through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_7daeac2e.json (auth=9/11, grade=REJECTED)
