nct_id,intervention_name,intervention_type,condition,phase,overall_status,sponsor,smiles
NCT01821963,Pegylated Interferon Alfa 2a,DRUG,Infection,phase3,TERMINATED,M.D. Anderson Cancer Center,
NCT01821963,Ribavirin,DRUG,Infection,phase3,TERMINATED,M.D. Anderson Cancer Center,
NCT01821963,Telaprevir,DRUG,Infection,phase3,TERMINATED,M.D. Anderson Cancer Center,
NCT04060563,INSPIRSTAR IS02 MICROCURRENT STIMULATOR,DEVICE,Diastasis Recti,na,TERMINATED,Diana Trang,
NCT02394106,Ofatumumab,DRUG,Nephrotic Syndrome,phase2,TERMINATED,Istituto Giannina Gaslini,
NCT02394106,Placebo,OTHER,Nephrotic Syndrome,phase2,TERMINATED,Istituto Giannina Gaslini,
NCT04135352,200 mg of pembrolizumab,DRUG,Neoplasm Metastasis,phase1,TERMINATED,Merck Sharp & Dohme LLC,
NCT04135352,V938,BIOLOGICAL,Neoplasm Metastasis,phase1,TERMINATED,Merck Sharp & Dohme LLC,
NCT00286377,prosaptide,DRUG,HIV; Peripheral Nervous System Disorders,phase2,TERMINATED,Savient Pharmaceuticals,
NCT02463175,Plasmalyte,DRUG,Scoliosis; Acute Kidney Injury,na,TERMINATED,University of British Columbia,
NCT02463175,Goal-directed fluid therapy (GDT),PROCEDURE,Scoliosis; Acute Kidney Injury,na,TERMINATED,University of British Columbia,
NCT01402401,AUY922,DRUG,Advanced Gastric Cancer,phase2,TERMINATED,Novartis Pharmaceuticals,
NCT01402401,Trastuzumab,DRUG,Advanced Gastric Cancer,phase2,TERMINATED,Novartis Pharmaceuticals,
NCT04642612,TCD Measurement,DEVICE,Regional Anesthesia; Horner Syndrome; Cerebral Blood Flow,na,TERMINATED,Stanford University,
NCT00363636,Galiximab in combination with rituximab,DRUG,"Lymphoma, Non-Hodgkin's",phase3,TERMINATED,Biogen,
NCT00363636,Rituximab in combination with placebo,DRUG,"Lymphoma, Non-Hodgkin's",phase3,TERMINATED,Biogen,
NCT05397171,AZD8853,DRUG,"Urinary Bladder Neoplasms; Colorectal Cancer; Carcinoma, Non-Small-Cell Lung",phase1; phase2,TERMINATED,AstraZeneca,
NCT05397171,Zirconium-89 crefmirlimab berdoxam,DRUG,"Urinary Bladder Neoplasms; Colorectal Cancer; Carcinoma, Non-Small-Cell Lung",phase1; phase2,TERMINATED,AstraZeneca,
NCT05263999,Itolizumab,BIOLOGICAL,Graft Versus Host Disease; GVHD; Acute-graft-versus-host Disease; Acute GVHD; aGVHD,phase3,TERMINATED,Equillium,
NCT05263999,EQ001 Placebo,DRUG,Graft Versus Host Disease; GVHD; Acute-graft-versus-host Disease; Acute GVHD; aGVHD,phase3,TERMINATED,Equillium,
NCT00496132,PRO131921,DRUG,Chronic Lymphocytic Leukemia,phase1; phase2,TERMINATED,"Genentech, Inc.",
NCT01650298,Drug (Direct thrombin or Factor Xa inhibitor),OTHER,Atrial Fibrillation,na,TERMINATED,Abbott Medical Devices,
NCT03270163,Transcutaneous electrical stimulation,OTHER,Muscle Weakness,na,TERMINATED,Centre Hospitalier Universitaire de Saint Etienne,
NCT03270163,Magnetic stimulation,OTHER,Muscle Weakness,na,TERMINATED,Centre Hospitalier Universitaire de Saint Etienne,
NCT03270163,ultrasound measurement,OTHER,Muscle Weakness,na,TERMINATED,Centre Hospitalier Universitaire de Saint Etienne,
NCT02740387,OTO-104,DRUG,Meniere's Disease,phase2,TERMINATED,"Otonomy, Inc.",
NCT01901887,Study Juice,DRUG,Suicide,phase1,TERMINATED,Medical University of South Carolina,
NCT01901887,Placebo Juice,DRUG,Suicide,phase1,TERMINATED,Medical University of South Carolina,
NCT04807387,Vaginal Stent A,DEVICE,Vaginal Stricture,na,TERMINATED,Baylor College of Medicine,
NCT04807387,Vaginal Stent B,DEVICE,Vaginal Stricture,na,TERMINATED,Baylor College of Medicine,
NCT04807387,Vaginal Stent,DEVICE,Vaginal Stricture,na,TERMINATED,Baylor College of Medicine,
NCT01691014,non-interventional study,OTHER,Rheumatoid Arthritis (RA),na,TERMINATED,Pfizer,
NCT01691014,non-interventional study,OTHER,Rheumatoid Arthritis (RA),na,TERMINATED,Pfizer,
NCT01691014,non-interventional study,OTHER,Rheumatoid Arthritis (RA),na,TERMINATED,Pfizer,
NCT01691014,non-interventional study,OTHER,Rheumatoid Arthritis (RA),na,TERMINATED,Pfizer,
NCT04700306,Sophrology,BEHAVIORAL,Craving; Cigarette Smoking,na,TERMINATED,Centre Hospitalier Intercommunal Creteil,
NCT03852706,LORETA,OTHER,Schizophrenia,na,TERMINATED,"University of Dublin, Trinity College",
NCT03852706,Treatment as usual,OTHER,Schizophrenia,na,TERMINATED,"University of Dublin, Trinity College",
NCT04693533,Fremanezumab Prefilled Syringe [Ajovy],DRUG,Migraine Disorders; Sleep Disorder,phase4,TERMINATED,Beth Israel Deaconess Medical Center,
NCT04633447,Guselkumab,DRUG,Giant Cell Arteritis,phase2,TERMINATED,"Janssen Research & Development, LLC",
NCT04633447,Placebo,DRUG,Giant Cell Arteritis,phase2,TERMINATED,"Janssen Research & Development, LLC",
NCT03023072,Incontinence Detection System,OTHER,Incontinence,na,TERMINATED,Hill-Rom,
NCT02645175,TW1025,OTHER,Metastatic Breast Cancer; Fatigue,phase2,TERMINATED,Meriyana Bio Inc.,
NCT02645175,Placebo,OTHER,Metastatic Breast Cancer; Fatigue,phase2,TERMINATED,Meriyana Bio Inc.,
NCT02975557,Brimonidine 0.15%,DRUG,Dry Eye; Ocular Graft vs Host Disease; Meibomian Gland Dysfunction,phase1; phase2,TERMINATED,"Sandeep Jain, MD",
NCT02975557,Brimonidine 0.075%,DRUG,Dry Eye; Ocular Graft vs Host Disease; Meibomian Gland Dysfunction,phase1; phase2,TERMINATED,"Sandeep Jain, MD",
NCT02975557,Placebo,DRUG,Dry Eye; Ocular Graft vs Host Disease; Meibomian Gland Dysfunction,phase1; phase2,TERMINATED,"Sandeep Jain, MD",
NCT01540292,Mesenchymal Stem Cells (MSC),BIOLOGICAL,Crohn's Disease,phase1; phase2,TERMINATED,University of Liege,
NCT04883892,BMAC,PROCEDURE,Ankle Osteoarthritis,na,TERMINATED,Istituto Ortopedico Rizzoli,
NCT04883892,HA,PROCEDURE,Ankle Osteoarthritis,na,TERMINATED,Istituto Ortopedico Rizzoli,
NCT01122511,700 ug dexamethasone,DRUG,Subfoveal Choroidal Neovascularization; Age-Related Maculopathy,phase2,TERMINATED,Allergan,
NCT01122511,ranibizumab,BIOLOGICAL,Subfoveal Choroidal Neovascularization; Age-Related Maculopathy,phase2,TERMINATED,Allergan,
NCT01122511,sham,OTHER,Subfoveal Choroidal Neovascularization; Age-Related Maculopathy,phase2,TERMINATED,Allergan,
NCT04762771,Colchicine,DRUG,Covid19,phase1; phase2,TERMINATED,Baptist Health South Florida,
NCT03253809,Biotronik Vision Guidewire,DEVICE,Cardiomyopathies; Congestive Heart Failure,na,TERMINATED,The Cleveland Clinic,
NCT00597909,sodium phenylacetate and sodium benzoate injection 10% / 10%,DRUG,Hepatic Encephalopathy,phase2,TERMINATED,Amgen,
NCT00597909,sodium phenylacetate and sodium benzoate injection 10% / 10%,DRUG,Hepatic Encephalopathy,phase2,TERMINATED,Amgen,
NCT00597909,placebo solution (10% dextrose),DRUG,Hepatic Encephalopathy,phase2,TERMINATED,Amgen,
NCT04902599,Renuvion/j-Plasma procedure using blunt dissection technique,PROCEDURE,Subdermal Skin Tightening,na,TERMINATED,University of Utah,
NCT04902599,Renuvion/j-Plasma procedure using ultrasound-guided dissection technique,PROCEDURE,Subdermal Skin Tightening,na,TERMINATED,University of Utah,
NCT01332799,allopurinol or placebo,DRUG,Complications of Renal Transplant,phase4,TERMINATED,Roberto S Kalil,
NCT01332799,Placebo,OTHER,Complications of Renal Transplant,phase4,TERMINATED,Roberto S Kalil,
NCT00002899,adjuvant therapy,PROCEDURE,Metastatic Cancer,phase3,TERMINATED,European Organisation for Research and Treatment of Cancer - EORTC,
NCT00002899,radiation therapy,RADIATION,Metastatic Cancer,phase3,TERMINATED,European Organisation for Research and Treatment of Cancer - EORTC,
NCT00002899,stereotactic radiosurgery,RADIATION,Metastatic Cancer,phase3,TERMINATED,European Organisation for Research and Treatment of Cancer - EORTC,
NCT01385293,BKM120,DRUG,Prostate Cancer; Metastatic (Spread to Other Areas of the Body),phase2,TERMINATED,"Andrew J. Armstrong, MD",
NCT03928314,ORIC-101,DRUG,Solid Tumor,phase1,TERMINATED,ORIC Pharmaceuticals,
NCT03928314,Nab-paclitaxel,DRUG,Solid Tumor,phase1,TERMINATED,ORIC Pharmaceuticals,
NCT03866616,Brain Builders Parenting Class,BEHAVIORAL,Child Development; Mother-Child Interaction,na,TERMINATED,William Marsh Rice University,
NCT03866616,Control (Usual care),BEHAVIORAL,Child Development; Mother-Child Interaction,na,TERMINATED,William Marsh Rice University,
NCT05877404,Surveys,OTHER,Endometrial Cancer,na,TERMINATED,Wake Forest University Health Sciences,
NCT00318747,Amb a 1-immunostimulatory oligodeoxyribonucleotide conjugate (AIC),DRUG,"Asthma; Allergy; Allergic Rhinitis; Rhinitis, Allergic, Seasonal",phase2,TERMINATED,National Institute of Allergy and Infectious Diseases (NIAID),
NCT01605747,Culturelle,OTHER,Pediatric Burns,phase2,TERMINATED,Shriners Hospitals for Children,
NCT01605747,Placebo,OTHER,Pediatric Burns,phase2,TERMINATED,Shriners Hospitals for Children,
NCT01151449,gamma-secretase/Notch signalling pathway inhibitor RO4929097,DRUG,Estrogen Receptor-negative Breast Cancer; HER2-negative Breast Cancer; Male Breast Cancer; Progesterone Receptor-negative Breast Cancer; Recurrent Breast Cancer; Stage IIIA Breast Cancer; Stage IIIB B,phase2,TERMINATED,National Cancer Institute (NCI),
NCT01151449,laboratory biomarker analysis,OTHER,Estrogen Receptor-negative Breast Cancer; HER2-negative Breast Cancer; Male Breast Cancer; Progesterone Receptor-negative Breast Cancer; Recurrent Breast Cancer; Stage IIIA Breast Cancer; Stage IIIB B,phase2,TERMINATED,National Cancer Institute (NCI),
NCT05756881,Cosmetic product,OTHER,Acne,na,TERMINATED,Universiti Sains Malaysia,
NCT00483119,intravenous immunoglobulin,DRUG,Pemphigus Vulgaris,phase2,TERMINATED,NYU Langone Health,
NCT00483119,cyclophosphamide,DRUG,Pemphigus Vulgaris,phase2,TERMINATED,NYU Langone Health,
NCT00383630,Intramyocardial injection of bone marrow mononuclear cells,BIOLOGICAL,"Heart Failure, Congestive",phase2,TERMINATED,Columbia University,
NCT00383630,Intramyocardial injection of CD34+ selected bone marrow mononuclear cells,BIOLOGICAL,"Heart Failure, Congestive",phase2,TERMINATED,Columbia University,
NCT00383630,LVAD alone,DEVICE,"Heart Failure, Congestive",phase2,TERMINATED,Columbia University,
NCT00508430,ASP8825,DRUG,Diabetic Neuropathies,phase2,TERMINATED,Astellas Pharma Inc,
NCT00508430,Placebo,DRUG,Diabetic Neuropathies,phase2,TERMINATED,Astellas Pharma Inc,
NCT03437967,LightForce EXPi,DEVICE,Chronic Pain,na,TERMINATED,LiteCure LLC,
NCT03119467,RP4010,DRUG,Lymphoma,phase1,TERMINATED,Rhizen Pharmaceuticals SA,
NCT03607500,caloric intake reduction,BEHAVIORAL,Kidney Transplant; Complications; Glomerular Disease; Weight Gain; Kidney Transplant,na,TERMINATED,University of Michigan,
NCT00361907,Effect of Pulsatile IV insulin on diabetic pt blood markers,PROCEDURE,Diabetes Mellitus,phase2; phase3,TERMINATED,Florida Atlantic University,
NCT00361907,Effect of Pulsatile IV Insulin on blood markers,PROCEDURE,Diabetes Mellitus,phase2; phase3,TERMINATED,Florida Atlantic University,
NCT00361907,Effect of Pulsatile IV insulin on diabetic pt blood markers,PROCEDURE,Diabetes Mellitus,phase2; phase3,TERMINATED,Florida Atlantic University,
NCT02209792,Placebo,DRUG,Crohn Disease,phase2,TERMINATED,Boehringer Ingelheim,
NCT02209792,"BIBR 796 BS, 5 mg",DRUG,Crohn Disease,phase2,TERMINATED,Boehringer Ingelheim,
NCT02209792,"BIBR 796 BS, 20 mg",DRUG,Crohn Disease,phase2,TERMINATED,Boehringer Ingelheim,
NCT03121092,ACEI or ARB,DRUG,Hypertension; Hypotension,na,TERMINATED,State University of New York - Downstate Medical Center,
NCT01246011,Argatroban and warfarin,DRUG,Coronary Artery Bypass Graft Surgery; Presence of Heparin/Platelet Factor 4 Antibody,phase4,TERMINATED,Massachusetts General Hospital,
NCT04584099,Radiofrequency device treatment,DEVICE,Body Fat,na,TERMINATED,"Cynosure, Inc.",
NCT05461599,SparkRx Mobile App,DEVICE,Depressive Symptoms; Major Depressive Disorder; Depression; Cardiology; Gastrointestinal Diseases; Depressive Disorder; Depressive Episode; Adolescent Behavior; Adolescent - Emotional Problem,na,TERMINATED,"Limbix Health, Inc.",
NCT01573299,Mobilization of stroke patients,OTHER,Early Mobilisation in Ischemic Stroke Patients,na,TERMINATED,Nantes University Hospital,
NCT05516498,Part A: Placebo (matching zibotentan capsule & matching dapagliflozin tablet),DRUG,Liver Cirrhosis,phase2,TERMINATED,AstraZeneca,
NCT05516498,Part A: zibotentan (dose B) + dapagliflozin,DRUG,Liver Cirrhosis,phase2,TERMINATED,AstraZeneca,
NCT05516498,Part B: Placebo (matching zibotentan capsule & matching dapagliflozin tablet),DRUG,Liver Cirrhosis,phase2,TERMINATED,AstraZeneca,
NCT05516498,Part B: placebo (matching zibotentan capsule) + dapagliflozin,DRUG,Liver Cirrhosis,phase2,TERMINATED,AstraZeneca,
NCT05516498,Part B: zibotentan (dose A) + dapagliflozin,DRUG,Liver Cirrhosis,phase2,TERMINATED,AstraZeneca,
NCT05516498,Part B: zibotentan (dose B) + dapagliflozin,DRUG,Liver Cirrhosis,phase2,TERMINATED,AstraZeneca,
NCT05516498,Part B: zibotentan (dose C) + dapagliflozin,DRUG,Liver Cirrhosis,phase2,TERMINATED,AstraZeneca,
NCT03735693,Ulstrasound,OTHER,"Amyotrophia; Weakness, Muscle",na,TERMINATED,Association Pro-arte,
NCT00004106,temozolomide,DRUG,Lymphoma,phase2,TERMINATED,Northwestern University,
NCT03478904,Enzalutamide Liquid,DRUG,Prostate Cancer,phase1,TERMINATED,National Cancer Institute (NCI),
NCT03478904,Enzalutamide Capsule,DRUG,Prostate Cancer,phase1,TERMINATED,National Cancer Institute (NCI),
NCT03959384,Curosurf 80Mg/Ml Intratracheal Suspension,DRUG,"Bronchiolitis, Viral",phase3,TERMINATED,Azienda Ospedaliera Universitaria Integrata Verona,
NCT03959384,Ambient Air,OTHER,"Bronchiolitis, Viral",phase3,TERMINATED,Azienda Ospedaliera Universitaria Integrata Verona,
NCT01693484,ICG (Indocyanine Green),DRUG,"Fractures, Comminuted; Surgical Wound Dehiscence; Necrosis",phase2; phase3,TERMINATED,Louisiana State University Health Sciences Center Shreveport,
NCT05708833,Intraosseous venous access,DEVICE,Hemodynamic Instability,na,TERMINATED,Assistance Publique - Hôpitaux de Paris,
NCT05708833,Peripheral venous access,DEVICE,Hemodynamic Instability,na,TERMINATED,Assistance Publique - Hôpitaux de Paris,
NCT00612833,Vasectomy occlusion techniques,PROCEDURE,Contraception,na,TERMINATED,FHI 360,
NCT00088933,recombinant fowlpox-CEA(6D)/TRICOM vaccine,DRUG,Extensive Stage Small Cell Lung Cancer; Recurrent Colon Cancer; Recurrent Non-small Cell Lung Cancer; Recurrent Rectal Cancer; Recurrent Small Cell Lung Cancer; Stage IV Colon Cancer; Stage IV Non-sma,phase1,TERMINATED,National Cancer Institute (NCI),
NCT00088933,recombinant vaccinia-CEA(6D)-TRICOM vaccine,DRUG,Extensive Stage Small Cell Lung Cancer; Recurrent Colon Cancer; Recurrent Non-small Cell Lung Cancer; Recurrent Rectal Cancer; Recurrent Small Cell Lung Cancer; Stage IV Colon Cancer; Stage IV Non-sma,phase1,TERMINATED,National Cancer Institute (NCI),
NCT00088933,docetaxel,DRUG,Extensive Stage Small Cell Lung Cancer; Recurrent Colon Cancer; Recurrent Non-small Cell Lung Cancer; Recurrent Rectal Cancer; Recurrent Small Cell Lung Cancer; Stage IV Colon Cancer; Stage IV Non-sma,phase1,TERMINATED,National Cancer Institute (NCI),
NCT00088933,sargramostim,DRUG,Extensive Stage Small Cell Lung Cancer; Recurrent Colon Cancer; Recurrent Non-small Cell Lung Cancer; Recurrent Rectal Cancer; Recurrent Small Cell Lung Cancer; Stage IV Colon Cancer; Stage IV Non-sma,phase1,TERMINATED,National Cancer Institute (NCI),
NCT00050375,oregovomab,DRUG,Ovarian Cancer,phase3,TERMINATED,Unither Pharmaceuticals,
NCT04727801,Verily Patch,DEVICE,Febrile; Afebrile,na,TERMINATED,Verily Life Sciences LLC,
NCT00180401,CRT-P and CRT-D devices,BEHAVIORAL,Heart Failure,na,TERMINATED,Boston Scientific Corporation,
NCT00220909,Lansoprazole,DRUG,Patients Undergoing Elective Coronary Artery Bypass Graft,phase4,TERMINATED,Temple University,
NCT03986398,Infection prophylaxis,OTHER,Bladder Cancer,na,TERMINATED,Hopital Foch,
NCT03734887,Social Network Feedback,BEHAVIORAL,Diabetes; Atherosclerosis Cardiovascular Disease; Congestive Heart Failure; Poor Medication Adherence,na,TERMINATED,"University of California, Los Angeles",
NCT03734887,Private Feedback,BEHAVIORAL,Diabetes; Atherosclerosis Cardiovascular Disease; Congestive Heart Failure; Poor Medication Adherence,na,TERMINATED,"University of California, Los Angeles",
NCT02163187,Implantation of the InterStimTM,DEVICE,Rectal Cancer; for Bowel Dysfunction Following Surgery for Rectal Cancers,phase2; phase3,TERMINATED,Memorial Sloan Kettering Cancer Center,
NCT02163187,MSK BFI questionnaires,BEHAVIORAL,Rectal Cancer; for Bowel Dysfunction Following Surgery for Rectal Cancers,phase2; phase3,TERMINATED,Memorial Sloan Kettering Cancer Center,
NCT02163187,The Low Anterior Resection Score (LARS) questionnaires,BEHAVIORAL,Rectal Cancer; for Bowel Dysfunction Following Surgery for Rectal Cancers,phase2; phase3,TERMINATED,Memorial Sloan Kettering Cancer Center,
NCT02163187,The EuroQOL5D questionnaires,BEHAVIORAL,Rectal Cancer; for Bowel Dysfunction Following Surgery for Rectal Cancers,phase2; phase3,TERMINATED,Memorial Sloan Kettering Cancer Center,
NCT02163187,The Fecal incontinence Quality of Life Scale (FIQOL) questionnaires,BEHAVIORAL,Rectal Cancer; for Bowel Dysfunction Following Surgery for Rectal Cancers,phase2; phase3,TERMINATED,Memorial Sloan Kettering Cancer Center,
NCT01200914,GORE VIABAHN® Endoprosthesis with Heparin Bioactive Surface,DEVICE,Renal Failure,na,TERMINATED,"University Health Network, Toronto",
NCT01200914,PTA alone without use of the GORE VIABAHN,PROCEDURE,Renal Failure,na,TERMINATED,"University Health Network, Toronto",
NCT00420914,low dose of 2.25 x 10^11 platelets/transfusion (range 1.5 to 2.9),PROCEDURE,Thrombocytopenia,phase3,TERMINATED,Hamilton Health Sciences Corporation,
NCT01332916,cognitive tests and cerebral IRM,PROCEDURE,Breast Cancer; Healthy,phase2,TERMINATED,Centre Francois Baclesse,
NCT01332916,cognitive tests and cerebral IRM,PROCEDURE,Breast Cancer; Healthy,phase2,TERMINATED,Centre Francois Baclesse,
NCT01739504,Liposuction with Local Anesthesia,PROCEDURE,Osteoarthritis,na,TERMINATED,Ageless Regenerative Institute,
